user id,user description
user_434029,srt12780
user_418817,AutismCrossroads
user_422778,JMF2
user_1154058,sapphirenut
user_421442,SheilaRShackelford
user_385625,piggrl
user_600765,justlovehim
user_404890,amy517
user_381243,Luc48
user_407733,calculator777
user_408801,4kids3dogs2cats2ferrets
user_219373,Rachelinpain
user_411562,bbkim
user_414699,Freakyfoot
user_416432,lore1952
user_699876,nyahplay
user_1152298,jgrace6
user_1271889,frobaggy
user_1440710,KMom17
user_1665758,samsews
user_405402,KARENKLIF
user_407612,SKVVV
user_406951,ainiyah
user_402487,generi
user_404086,testedandtruemom
user_397170,ally110169
user_392210,barbaram
user_386520,learning2befree
user_390180,geemom
user_370931,christinadc0527
user_378498,jgb21
user_378523,marjsmith03
user_378739,brandy777
user_378415,Quill71
user_387642,dlb4boys
user_389592,ReincarnatedGodzilla
user_387973,dnp26
user_387056,NicoleHope
user_385017,understand
user_382933,cherpear
user_384320,jentherecruiter
user_982175,karen04
user_381838,sugamommas
user_381567,pepsi2850
user_518366,troisboyz
user_356327,angelinamarina
user_92911,LukeL
user_9995,wmac
user_380759,jaipur
user_333573,crayons
user_371209,barbsbit
user_282524,rebbecca
user_304011,jerry9798
user_368946,bweebles
user_337410,tomcat47
user_362088,aver
user_367032,EdieMarie
user_474322,Presidents
user_367308,JollyHolly1221
user_365670,bellemom
user_317629,BlueEgg
user_287540,littlebartie
user_361661,jrobb1564
user_596996,keloz
user_336901,Atto786
user_681771,smettoh
user_726652,eloisa7
user_359999,Danalou275
user_355729,PATTI143
user_364792,losifat
user_360460,TammyLynn1976
user_361230,beancounter68
user_212002,Susie2007
user_345311,Claudinne
